127.0.0.1 - - [19/Dec/2019:08:22:17 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:30:21 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:30:21 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:30:21 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
127.0.0.1 - - [19/Dec/2019:09:31:08 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/css/newjquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/css/ourcustom.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:11 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54732
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/js/dataTables.rowReorder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:12 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:14 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:16 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:18 +0300] "GET /Content/backend/img/loading1.gif HTTP/1.1" 200 99717
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:31:18 +0300] "POST /Content/backend/actions/components/newsIndexCardAction.jsp HTTP/1.1" 200 18
127.0.0.1 - - [19/Dec/2019:09:32:40 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/css/ourcustom.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/css/newjquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54732
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/js/dataTables.rowReorder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:44 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:47 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:50 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:52 +0300] "GET /Content/backend/img/loading1.gif HTTP/1.1" 200 99717
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:32:53 +0300] "POST /Content/backend/actions/components/newsIndexCardAction.jsp HTTP/1.1" 200 18
127.0.0.1 - - [19/Dec/2019:09:35:28 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/css/ourcustom.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/css/newjquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:31 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54732
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/js/dataTables.rowReorder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:32 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:35 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:36 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:38 +0300] "GET /Content/backend/img/loading1.gif HTTP/1.1" 200 99717
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:35:39 +0300] "POST /Content/backend/actions/components/newsIndexCardAction.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/css/ourcustom.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/css/newjquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:30 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54732
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/js/dataTables.rowReorder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/ HTTP/1.1" 200 32786
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:31 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:33 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:35 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:37 +0300] "GET /Content/backend/img/loading1.gif HTTP/1.1" 200 99717
0:0:0:0:0:0:0:1 - - [19/Dec/2019:09:37:37 +0300] "POST /Content/backend/actions/components/newsIndexCardAction.jsp HTTP/1.1" 200 18
